N,digits,eps,mode,pot_src_l2,pot_trg_l2,grad_src_l2,grad_trg_l2
1000,3,1e-03,pot,9.406377111140e-04,9.108795146580e-04,nan,nan
1000,6,1e-06,pot,9.969358589886e-07,9.112877128594e-07,nan,nan
1000,9,1e-09,pot,8.596121937354e-10,8.304591092522e-10,nan,nan
1000,12,1e-12,pot,9.878331216253e-13,8.906636767387e-13,nan,nan
1000,3,1e-03,pot+grad,9.406377111140e-04,9.108795146580e-04,8.974850042039e-04,2.567969107075e-04
1000,6,1e-06,pot+grad,9.969358589886e-07,9.112877128594e-07,1.731685795355e-06,4.895363015665e-07
1000,9,1e-09,pot+grad,8.596121937354e-10,8.304591092522e-10,2.399527256717e-09,6.530980230259e-10
1000,12,1e-12,pot+grad,9.878331216253e-13,8.906636767387e-13,4.421980906829e-12,1.200963031053e-12
2000,3,1e-03,pot,8.137296774362e-04,8.789662077984e-04,nan,nan
2000,6,1e-06,pot,1.095293674684e-06,1.177637827316e-06,nan,nan
2000,9,1e-09,pot,8.778476277807e-10,9.450382384209e-10,nan,nan
2000,12,1e-12,pot,8.941368508636e-13,8.716972379257e-13,nan,nan
2000,3,1e-03,pot+grad,8.137296774362e-04,8.789662077984e-04,5.374353869997e-04,7.406162962051e-04
2000,6,1e-06,pot+grad,1.095293674684e-06,1.177637827316e-06,1.222352942422e-06,1.634684367180e-06
2000,9,1e-09,pot+grad,8.778476277807e-10,9.450382384209e-10,1.466263855309e-09,1.898090895528e-09
2000,12,1e-12,pot+grad,8.941368508636e-13,8.716972379257e-13,2.568565316736e-12,3.416238329726e-12
5000,3,1e-03,pot,9.176262518645e-04,8.928172356750e-04,nan,nan
5000,6,1e-06,pot,1.168055433560e-06,1.145075415531e-06,nan,nan
5000,9,1e-09,pot,1.031193030532e-09,9.792707929844e-10,nan,nan
5000,12,1e-12,pot,1.071619630122e-12,1.022635856806e-12,nan,nan
5000,3,1e-03,pot+grad,9.176262518645e-04,8.928172356750e-04,5.210656860216e-04,3.450287812982e-04
5000,6,1e-06,pot+grad,1.168055433560e-06,1.145075415531e-06,1.145399163832e-06,7.462333616140e-07
5000,9,1e-09,pot+grad,1.031193030532e-09,9.792707929844e-10,1.408313247260e-09,9.727198304233e-10
5000,12,1e-12,pot+grad,1.071619630122e-12,1.022635856806e-12,2.630345982434e-12,1.802867519338e-12
10000,3,1e-03,pot,7.737924054716e-04,7.689247715369e-04,nan,nan
10000,6,1e-06,pot,1.067971414228e-06,1.059277264461e-06,nan,nan
10000,9,1e-09,pot,9.183992701772e-10,8.942439278702e-10,nan,nan
10000,12,1e-12,pot,8.829018086860e-13,8.726862926079e-13,nan,nan
10000,3,1e-03,pot+grad,7.737924054716e-04,7.689247715369e-04,2.859623246425e-04,5.547817103468e-04
10000,6,1e-06,pot+grad,1.067971414228e-06,1.059277264461e-06,6.156127497512e-07,1.229137483330e-06
10000,9,1e-09,pot+grad,9.183992701772e-10,8.942439278702e-10,7.986606922392e-10,1.510994526174e-09
10000,12,1e-12,pot+grad,8.829018086860e-13,8.726862926079e-13,1.528304147980e-12,2.798843710369e-12
